Jahr,Laufwasser,Biomasse,Braunkohle,Steinkohle,Mineralöl,Erdgas,Wind offshore,Wind onshore,Solar
,Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW),Leistung (GW)
2024,4.937,9.079,15.136,17.538,4.04,36.331,9.108,62.308,93.026
